,RegulatedEntityName,DonationsValue,DonationEvents,DonationMean,RegEntity_Group
0,A Minority Pastime Limited,6612.0,1,6612.0,Single Donation Entity
1,Abisola Ifasawo,1650.0,1,1650.0,Single Donation Entity
2,Alan Brown,5100.0,1,5100.0,Single Donation Entity
3,Alan Mak MP,27693.61,9,3077.067777777778,Very Small Entity
4,Alec Shelbrooke,4860.0,2,2430.0,Very Small Entity
5,Alex Burghart,7800.0,1,7800.0,Single Donation Entity
6,Alex Salmond MP,27431.97,4,6857.9925,Very Small Entity
7,Alex Sobel,1502.46,1,1502.46,Single Donation Entity
8,Alexander Stewart MSP,6000.0,1,6000.0,Single Donation Entity
9,Alison McGovern MP,15677.09,8,1959.63625,Very Small Entity
10,All People's Party,116899.47,16,7306.216875,Very Small Entity
11,Alliance For Green Socialism,9217.0,1,9217.0,Single Donation Entity
12,Alun Davies,2431.71,1,2431.71,Single Donation Entity
13,Amanda Milling MP,2000.0,1,2000.0,Single Donation Entity
14,Andrea Jenkyns MP,66307.86,13,5100.6046153846155,Very Small Entity
15,Andrew Bingham MP,1840.0,1,1840.0,Single Donation Entity
16,Andrew Lewin,5000.0,1,5000.0,Single Donation Entity
17,Andrew Turner MP,2500.0,1,2500.0,Single Donation Entity
18,Angela Burns,2000.0,1,2000.0,Single Donation Entity
19,Angela Eagle MP,194891.42,14,13920.815714285714,Very Small Entity
20,Angela Smith MP,2958.06,1,2958.06,Single Donation Entity
21,Ann Winterton MP,4001.0,2,2000.5,Very Small Entity
22,Anna McMorrin,9232.43,2,4616.215,Very Small Entity
23,Anne Main MP,4260.0,2,2130.0,Very Small Entity
24,Annie Wells MSP,2000.0,1,2000.0,Single Donation Entity
25,Another Europe Is Possible,15320.0,2,7660.0,Very Small Entity
26,Antoinette Sandbach,5748.0,2,2874.0,Very Small Entity
27,Ashfield Independents,8400.0,2,4200.0,Very Small Entity
28,Aspire,9872.880000000001,2,4936.4400000000005,Very Small Entity
29,Ben Bradley,36000.0,3,12000.0,Very Small Entity
30,Best For Our Future Ltd,848000.0,12,70666.66666666667,Very Small Entity
31,Beth Prescott,1650.0,1,1650.0,Single Donation Entity
32,Better Bedford Independent Party [De-registered 20/09/11],27676.0,3,9225.333333333334,Very Small Entity
33,Better Together 2012 Ltd,2477746.0,47,52718.0,Very Small Entity
34,Better With Scotland,20723.5,1,20723.5,Single Donation Entity
35,Bleddyn William Vaughan Rees,1650.0,1,1650.0,Single Donation Entity
36,Blue Collar Conservatism Ltd,39000.0,5,7800.0,Very Small Entity
37,Bob Stewart MP,18781.32,5,3756.264,Very Small Entity
38,Brendan O'Hara,9783.19,4,2445.7975,Very Small Entity
39,Brexit Express,1256032.54,7,179433.22,Very Small Entity
40,Brexit Express (BE),8851.2,3,2950.4,Very Small Entity
41,Britain Yearly Meeting of the Religious Society of Friends (Quakers),28500.0,4,7125.0,Very Small Entity
42,British Declaration Of Independence [The],16098.0,2,8049.0,Very Small Entity
43,British Institute of Human Rights,5573.0,1,5573.0,Single Donation Entity
44,British National Party,266529.92,6,44421.65333333333,Very Small Entity
